RI204006520150518C 000000000000Resa per uscita               0020000000000013479040000002 0001000000802400 0000000000000000000000 00001604800 N                     
RI204006520150518C 000000000000Resa per uscita               0030000000000013544450000003 0001000000802400 0000000000000000000000 00002407200 N                     
RI204006520150518C 000000000000Resa per uscita               0040000000000013498550000003 0001490001195600 0000000000000000000000 00003586800 N                     
RI204006520150518C 000000000000Resa per uscita               0060000000000013547100000002 0001500001203600 0000000000000000000000 00002407200 N                     
RI204006520150518C 000000000000Resa per uscita               0070000000000013498820000001 0001600001283800 0000000000000000000000 00001283800 N                     
RI204006520150518C 000000000000Resa per uscita               0080000000000013543400000002 0002000001604800 0000000000000000000000 00003209600 N                     
RI204006520150518C 000000000000Resa per uscita               0090000000000013496510000007 0002000001604800 0000000000000000000000 00011233600 N                     
RI204006520150518C 000000000000Resa per uscita               0110000000000013543680000003 0003000002407200 0000000000000000000000 00007221601 N                     
RI204006520150518C 000000000000Resa per uscita               0120000000000013498830000001 0003500002808400 0000000000000000000000 00002808400 N                     
RI204006520150518C 000000000000Resa per uscita               0130000000000013499500000003 0004900003931800 0000000000000000000000 00011795400 N                     
RI204006520150518C 000000000000Resa per uscita               0130000000000013489860000003 0003500002808400 0000000000000000000000 00008425200 N                     
RI204006520150518C 000000000000Resa per uscita               0140000000000013503090000001 0003500002808400 0000000000000000000000 00002808400 N                     
RI204006520150518C 000000000000Resa per uscita               0170000000000013493410000002 0005000004012000 0000000000000000000000 00008024000 N                     
RI204006520150518C 000000000000Resa per uscita               0180000000000013484000000001 0003900003129400 0000000000000000000000 00003129400 N                     
RI204006520150518C 000000000000Resa per uscita               0180000000000013502450000001 0005000004012000 0000000000000000000000 00004012000 N                     
RI204006520150518C 000000000000Resa per uscita               0190000000000013558270000007 0000500000397500 0000000000000000000000 00002782500 N                     
RI204006520150518C 000000000000Resa per uscita               0200000000000013559240000001 0000500000397500 0000000000000000000000 00000397500 N                     
RI204006520150518C 000000000000Resa per uscita               0220000000000013544200000001 0010900008909800 0000000000000000000000 00008909800 N                     
RI204006520150518C 000000000000Resa per uscita               0290000000000013544000000001 0007900006339000 0000000000000000000000 00006339000 N                     
RI204006520150518C 000000000000Resa per uscita               1270000000000013559580000006 0000500000397500 0000000000000000000000 00002385000 N                     
RI204006520150518C 000000000003Ultima resa di                1300000000000013426040000002 0006900005536600 0000000000000000000000 00011073200 N                     
RI204006520150518C 000000000000Resa per uscita               1340000000000013544460000001 0009900008078400 0000000000000000000000 00008078400 N                     
RI204006520150518C 000000000003Ultima resa di                1370000000000013313660000010 0002900002233000 0000000000000000000000 00022330000 N                     
RI204006520150518C 000000000003Ultima resa di                1380000000000013487690000002 0001500001203600 0000000000000000000000 00002407200 N                     
RI204006520150518C 000000000003Ultima resa di                1410000000000013418030000002 0005900004442700 0000000000000000000000 00008885400 N                     
RI204006520150518C 000000000003Ultima resa di                1420000000000013426270000001 0003900003151200 0000000000000000000000 00003151200 N                     
RI204006520150518C 000000000003Ultima resa di                1420000000000013508720000002 0009900007943800 0000000000000000000000 00015887600 N                     
RI204006520150518C 000000000003Ultima resa di                1450000000000013442750000004 0002200001765300 0000000000000000000000 00007061200 N                     
RI204006520150518C 000000000003Ultima resa di                1460000000000013531290000004 0001000000798700 0000000000000000000000 00003194800 N                     
RI204006520150518C 000000000003Ultima resa di                1460000000000013442480000001 0008900007141400 0000000000000000000000 00007141400 N                     
RI204006520150518C 000000000003Ultima resa di                1470000000000013442470000002 0009900007943800 0000000000000000000000 00015887600 N                     
RI204006520150518C 000000000003Ultima resa di                1550000000000013440550000002 0004000003209600 0000000000000000000000 00006419200 N                     
RI204006520150518C 000000000000                              0000000000000013531590000001 0009900008078400 0000000000000000000000 00008078400 N                     
