AP209224999711225450093357 000001134   9335720190307HARMONY             IL PREZZO DELL'INGAN120003509999999999 11225450093357977112254500710000000000000000U977112254500793357
AP209224999711225450093356 000001134   9335620190307HARMONY             DI NUOVO TRA LE MIE 120003509999999999 11225450093356977112254500710000000000000000U977112254500793356
AP209224999711225450093355 000001134   9335520190307HARMONY             ASSUNTA DAL NEMICO  120003509999999999 11225450093355977112254500710000000000000000U977112254500793355
AP209224999711225450093354 000001134   9335420190307HARMONY             L'ULTIMA CONQUISTA D120003509999999999 11225450093354977112254500710000000000000000U977112254500793354
AP209224999711225450093353 000001134   9335320190307HARMONY             SOTTO LE LUCI DELLA 120003509999999999 11225450093353977112254500710000000000000000U977112254500793353
AP209224999711225450093352 000001134   9335220190307HARMONY             TENTAZIONE PROIBITA 120003509999999999 11225450093352977112254500710000000000000000U977112254500793352
AP209224999711225450093351 000001134   9335120190307HARMONY             RESA DEI CONTI CON I120003509999999999 11225450093351977112254500710000000000000000U977112254500793351
AP209224999711225450093350 000001134   9335020190307HARMONY             L'ISOLA DEL MILIONAR120003509999999999 11225450093350977112254500710000000000000000U977112254500793350
AP209224999100125370091033 000000353   9103320190307DOMUS                                   120010009999999999 00125370091033977001253700910000000000000000U977001253700991033
AP209224999178013080090011 000002106   9001120190307$WOCHE DER FRAU                         070001409999999999 78013080090011             10000000000000000U419506070099411   
AP209224999511221765490307 000003715   9030720190307STAMPA                                  010001509999999999 11221765490307977112217600320000000000000000U977112217600390307
AP209224999711286160090307 000003734   9030720190307FOGLIO                                  010001809999999999 11286160090307977112861600820000000000000000U977112861600890307
AP209224999711206020090307 000003742   9030720190307AVVENIRE                                010001509999999999 11206020090307977112060200920000000000000000U977112060200990307
AP209224999711206020090306 000003742   9030620190306AVVENIRE                                010001509999999999 11206020090306977112060200920000000000000000U977112060200990306
AP209224998700414440190307 000003753   9030720190307TUTTOSPORT                              010001509999999999 00414440190307977004144400220000000000000000U977004144400290307
AP209224999511205064290307 000003729   9030720190307GAZZETTA SPORT                          010001509999999999 11205064290307977112050600020000000000000000U977112050600090307
AP209224902100000350090307 000003739   9030720190307ITALIA OGGI                             010002009999999999 00000350090307977112060600720000000000000000U977112060600790307
AP209224999711248830090307 000003749   9030720190307GIORNALE            IL GIORNALE NAZIONAL010001509999999999 11248830090307977112488300820000000000000000U977112488300890307
AP209224999111248540090233 000001424   9023320190307ELETTRONICA IN                          120006009999999999 11248540090233977112485400810000000000000000U977112485400890233
AP209224999511204400090003 000000323   9000320190307ELLE DECOR                              120004509999999999 11204400090003977112044000710000000000000000U977112044000790003
AP209224999711223650091903 000000338   9190320190307INTERNI                                 120008009999999999 11223650091903977112236500110000000000000000U977112236500191903
AP209224999511242270090376 000000788   9037620190307WOLVERINE           WOLVERINE N. 50 / 37120003509999999999 11242270090376977112422700010000000000000000U977112422700090376
AP209224985069110400093798 000009696   9379820190307$FRANCE FOOTBALL                        070003809999999999 69110400037980378041550350710000000000000000U378041550350737980
AP209224985069102100091573 000009716   9157320190307$HELLO UK                               070004009999999999 69102100091573             10000000000000000U977021438813310   
AP209224985069030500090307 000001685   9030720190307$BILD                                   010001409999999999 69030500040010419087550090620000000000000000U419087550090640010
AP209224999178012600090004 000001224   9000420190307$VOGUE  TEDESCO                         120008509999999999 78012600090004             10760000000000000U419093020700904   
AP209224999178015410090011 000001257   9001120190307$NEUE WELT                              070002509999999999 78015410090011             10000000000000000U419071110179311   
AP209224999178012000090011 000001269   9001120190307$FREIZEIT REVUE                         070002509999999999 78012000090011             10000000000000000U419030340190411   
AP209224999511230370090102 000001175   9010220190307ENIGMISTICA IN SPECI                    130002809999999999 11230370090102977112303700610000000000000000U977112303700690102
AP209224999517245060090043 000002606   9004320190307CRUCIVERBA 250                          140002309999999999 17245060090043977172450600010000000000000000U977172450600090043
AP209224999511204983190307 000010596   9030720190307CORR.SERA VE                            010001509999999999 11204983190307977112049800820000000000000000U977112049800890307
AP209224993515941320390307 000010599   9030720190307NUOVA VENEZIA                           010001009999999999 15941320390307977159413290320000000000000000U977159413290390307
AP209224999178012110090011 000003062   9001120190307$GLUCKS REVUE                           070001909999999999 78012110090011             10000000000000000U419190360140411   
AP209224973909094650090307 000003776   9030720190307GIORNO                                  010001409999999999 09094650090307977112421140520000000000000000U977112421140590307
AP209224902100000370090307 000003778   9030720190307MERCATI FINANZIARI                      010002009999999999 00000370090307977159467700820000000000000000U977159467700890307
AP209224999503917864290307 000003782   9030720190307SOLE 24 ORE                             010002009999999999 03917864290307977039178641820000000000000000U977039178641890307
AP209224999515925440090105 000003090   9010520190307FANTASTICI PUZZLE                       130001909999999999 15925440090105977159254400510000000000000000U977159254400590105
AP209224999511204380090011 000000800   9001120190307DOMENICA QUIZ                           070001609999999999 11204380090011977112043800410000000000000000U977112043800490011
AP209224999111255220094537 000000801   9453720190307SETTIMANA ENIGMISTIC                    070001609999999999 11255220094537977112552200510000000000000000U977112552200594537
AP209224999111215340090319 000000476   9031920190307GLAMOUR POCKET                          120001509999999999 11215340090319977112153400210000000000000000U977112153400290319
AP209224999511255940090118 000001749   9011820190307ENIGMISTICA JUNIOR                      130002509999999999 11255940090118977112559400210000000000000000U977112559400290118
AP209224985069031050090307 000009935   9030720190307$DIE WELT                               010003709999999999 69031050090307419071090270420000000000000000U419071090270490307
AP209224985069031010090307 000009936   9030720190307$FRANKFURTER ALLGEM.                    010003709999999999 69031010040010419029540290320000000000000000U419029540290340010
